anio,mes,PLIEGO_NOMBRE,CANON,FONCOMUN,REGALIAS,SOBRECANON,total_transferencias,gasto_educ,gasto_salud,gasto_social,total_ingresos,ingresos_propios,autonomia,prop_transferencias,prop_propios,fecha,ln_gasto_social,autonomia2,autonomia_x_transferencias
2014,1,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,0.0,0.0,0.0,1206536.84,1206536.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,MUNICIPALIDAD METROPOLITANA DE LIMA,136661.6,0.0,0.0,0.0,136661.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. AGRARIA DE LA MOLINA,3636.43,0.0,0.0,0.0,3636.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. AGRARIA DE LA SELVA,3044.03,0.0,0.0,0.0,3044.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. AMAZONICA DE MADRE DE DIOS,27250.49,0.0,0.0,0.0,27250.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. AUTONOMA DE CHOTA,155822.84,0.0,0.0,0.0,155822.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. AUTONOMA DE HUANTA,1195.46,0.0,0.0,0.0,1195.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DANIEL ALCIDES CARRION,219237.14,0.0,0.0,0.0,219237.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE BARRANCA,119138.25,0.0,0.0,0.0,119138.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE CAJAMARCA,156633.82,0.0,0.0,0.0,156633.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE CAÑETE,118932.06,0.0,0.0,0.0,118932.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE EDUCACION ENRIQUE GUZMAN Y VALLE,3636.42,0.0,0.0,0.0,3636.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE FRONTERA,18843.12,0.0,0.0,2102512.34,2121355.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE HUANCAVELICA,161814.23,0.0,0.0,0.0,161814.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE INGENIERIA,2828.77,0.0,0.0,0.0,2828.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE JAEN,156579.47,0.0,0.0,0.0,156579.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE JULIACA,128335.66,0.0,0.0,0.0,128335.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE LA AMAZONIA PERUANA,11697.1,0.0,0.0,1510626.05,1522323.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE MOQUEGUA,286736.53,0.0,0.0,0.0,286736.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE PIURA,18843.12,0.0,0.0,2230525.81,2249368.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE SAN MARTIN,6718.3,0.0,0.0,0.0,6718.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE TUMBES,46.31,0.0,0.0,1173657.24,1173703.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DE UCAYALI,8936.57,0.0,0.0,371801.02,380737.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DEL ALTIPLANO,102900.42,0.0,0.0,0.0,102900.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DEL CALLAO,65519.240000000005,0.0,0.0,0.0,65519.240000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DEL CENTRO DEL PERU,58183.42,0.0,0.0,0.0,58183.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. DEL SANTA,517746.05,0.0,0.0,0.0,517746.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. FEDERICO VILLARREAL,3636.43,0.0,0.0,0.0,3636.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. HERMILIO VALDIZAN,3031.3500000000004,0.0,0.0,0.0,3031.3500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,58183.39,0.0,0.0,0.0,58183.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. JORGE BASADRE GROHMANN,424729.14,0.0,0.0,0.0,424729.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. JOSE FAUSTINO SANCHEZ CARRION,119138.28,0.0,0.0,0.0,119138.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. JOSE MARIA ARGUEDAS,3723.48,0.0,0.0,0.0,3723.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. MAYOR DE SAN MARCOS,3556.9,0.0,0.0,0.0,3556.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. MICAELA BASTIDAS DE APURIMAC,3729.12,0.0,0.0,0.0,3729.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. PEDRO RUIZ GALLO,2802.62,0.0,0.0,0.0,2802.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. SAN AGUSTIN,645762.35,0.0,0.0,0.0,645762.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. SAN ANTONIO ABAD,6211907.93,0.0,0.0,0.0,6211907.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. SAN CRISTOBAL DE HUAMANGA,30233.47,0.0,0.0,0.0,30233.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. SAN LUIS GONZAGA,382466.78,0.0,0.0,0.0,382466.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. SANTIAGO ANTUNEZ DE MAYOLO,514203.56,0.0,0.0,0.0,514203.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. TECNOLOGICA DE LIMA SUR,3636.43,0.0,0.0,0.0,3636.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,470.22,0.0,0.0,0.0,470.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,U.N. TRUJILLO,257094.33,0.0,0.0,0.0,257094.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,1,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA,8946.86,0.0,0.0,400887.64,409834.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-01-01,0.0,0.0,0.0
2014,2, ,169693371.86,476068636.39,0.0,73572163.33,719334171.58,76327019.49,29177986.73,105505006.22,3233819585.86,569175001.3100001,0.1760070363228485,0.2224410337315403,0.1760070363228485,2014-02-01,18.474268971555066,0.03097847683515251,0.03915118710367919
2014,2,GOBIERNO REGIONAL ANCASH,705560.27,0.0,0.0,0.0,705560.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL AREQUIPA,198057.3,0.0,0.0,0.0,198057.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL CAJAMARCA,7713113.02,0.0,0.0,0.0,7713113.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL CALLAO,207926.02,0.0,0.0,0.0,207926.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL CUSCO,37768519.82,0.0,0.0,0.0,37768519.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL HUANCAVELICA,1477617.5099999998,0.0,0.0,0.0,1477617.5099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL ICA,402670.43,0.0,0.0,0.0,402670.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL JUNIN,1313417.29,0.0,0.0,0.0,1313417.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL LA LIBERTAD,469810.0,0.0,0.0,0.0,469810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL LIMA,11199.869999999995,0.0,0.0,0.0,11199.869999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL LORETO,1900000.0,0.0,0.0,12698623.11,14598623.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL MOQUEGUA,74425.12,0.0,0.0,0.0,74425.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL PASCO,259451.08,0.0,0.0,0.0,259451.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL PIURA,108035.18,0.0,0.0,13514826.1,13622861.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL PUNO,98826.34,0.0,0.0,0.0,98826.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL TACNA,10183.9,0.0,0.0,0.0,10183.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL TUMBES,0.0,0.0,0.0,5799137.970000001,5799137.970000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,GOBIERNO REGIONAL UCAYALI,0.0,0.0,0.0,3265097.12,3265097.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,0.0,0.0,0.0,1081624.17,1081624.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,MUNICIPALIDAD METROPOLITANA DE LIMA,82126.95,0.0,0.0,0.0,82126.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. AGRARIA DE LA MOLINA,2566.47,0.0,0.0,0.0,2566.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. AUTONOMA DE CHOTA,9426.08,0.0,0.0,0.0,9426.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. DANIEL ALCIDES CARRION,64862.77,0.0,0.0,0.0,64862.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. DE BARRANCA,68144.74,0.0,0.0,0.0,68144.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. DE CAJAMARCA,9426.09,0.0,0.0,0.0,9426.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. DE CAÑETE,68144.76000000001,0.0,0.0,0.0,68144.76000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
2014,2,U.N. DE EDUCACION ENRIQUE GUZMAN Y VALLE,2566.45,0.0,0.0,0.0,2566.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-01,0.0,0.0,0.0
